STATION,lines,latitude,longitude,zipcode,state,borough,neighborhood
BROOKLYN BRIDGE,456JZ,40.713159000000005,-74.003917,10278,NY,Manhattan,-
BUHRE AV,6,40.846817,-73.832545,10461,NY,Bronx,Northeast Bronx
BURKE AV,25,40.871387,-73.867135,10467,NY,Bronx,Bronx Park and Fordham
BURNSIDE AV,4,40.853390000000005,-73.907733,10453,NY,Bronx,Central Bronx
BUSHWICK AV,L,40.682558,-73.905501,11233,NY,Brooklyn,Central Brooklyn
CANAL ST,1,40.722819,-74.00626700000001,10013,NY,Manhattan,Greenwich Village and Soho
CANAL ST,6JNQRWZ,40.71854233333334,-74.000759,10278,NY,Manhattan,-
CANAL ST,ACE,40.720852,-74.005237,10013,NY,Manhattan,Greenwich Village and Soho
CANARSIE-ROCKAW,L,40.64666,-73.901832,11236,NY,Brooklyn,Canarsie and Flatlands
CARROLL ST,FG,40.680231,-73.99498,11231,NY,Brooklyn,Northwest Brooklyn
CASTLE HILL AV,6,40.834255,-73.85122199999999,10462,NY,Bronx,Northeast Bronx
CATHEDRAL PKWY,1,40.804032,-73.96674200000001,10025,NY,Manhattan,Upper West Side
CATHEDRAL PKWY,BC,40.800637,-73.958201,10026,NY,Manhattan,Central Harlem
CENTRAL AV,M,40.697672999999995,-73.927131,11237,NY,Brooklyn,Bushwick and Williamsburg
CENTRAL PK N110,23,40.79911,-73.95180699999999,10026,NY,Manhattan,Central Harlem
CHAMBERS ST,123,40.715436,-74.009335,10007,NY,Manhattan,Lower Manhattan
CHAMBERS ST,23ACE,40.71433,-74.008563,10007,NY,Manhattan,Lower Manhattan
CHAMBERS ST,456JZ,40.713159000000005,-74.003917,10278,NY,Manhattan,-
CHAUNCEY ST,JZ,40.682867,-73.91048,11233,NY,Brooklyn,Central Brooklyn
CHRISTOPHER ST,1,40.733405,-74.002898,10011,NY,Manhattan,Chelsea and Clinton
CHURCH AV,25,40.650843,-73.949575,11226,NY,Brooklyn,Flatbush
CHURCH AV,BQ,40.650494,-73.962836,11226,NY,Brooklyn,Flatbush
