Station,Name,Borough,Latitude,Longitude
FULTON ST,Fulton St,Brooklyn,40.7054948,-74.0013456
GATES AV,Gates Av,Brooklyn,40.68963,-73.92227
GRAHAM AV,Graham Av,Brooklyn,40.714565,-73.944053
GRAND ARMY PLAZ,Grand Army Plaza,Brooklyn,40.675235,-73.971046
GRAND ST,Grand St,Manhattan,40.7150965,-73.9672115
GRAND-NEWTOWN,Grand Av - Newtown,Queens,40.737015,-73.877223
GRANT AV,Grant Av,Brooklyn,40.677044,-73.86505
GRD CNTRL-42 ST,Grand Central - 42 St,Manhattan,40.751992,-73.97735933
GREENPOINT AV,Greenpoint Av,Brooklyn,40.731352,-73.954449
GROVE STREET,Grove Street,,40.719876,-74.042616
GUN HILL RD,Gun Hill Rd,Bronx,40.873688,-73.85632
HALSEY ST,Halsey St,Queens,40.690986,-73.9103215
HARLEM 148 ST,Harlem - 148 St,Manhattan,40.82388,-73.93647
HARRISON,,,,
HEWES ST,Hewes St,Brooklyn,40.70687,-73.953431
HIGH ST,High St,Brooklyn,40.699337,-73.990531
HOUSTON ST,Houston St,Manhattan,40.728251,-74.005367
HOWARD BCH JFK,Howard Beach - JFK Airport,Queens,40.660476,-73.830301
HOYT ST,Hoyt St,Brooklyn,40.690545,-73.985065
HOYT-SCHER,Hoyt - Schermerhorn Sts,Brooklyn,40.688484,-73.985001
HUNTERS PT AV,Hunters Point Av,Queens,40.742216,-73.948916
HUNTS POINT AV,Hunts Point Av,Bronx,40.820948,-73.890549
INTERVALE AV,Intervale Av,Bronx,40.822181,-73.896736
INWOOD-207 ST,Inwood - 207 St,Manhattan,40.868072,-73.919899
JACKSON AV,Jackson Av,Bronx,40.81649,-73.907807
JAMAICA 179 ST,Jamaica - 179 St,Queens,40.712646,-73.783817
JAMAICA CENTER,Jamaica Center - Parsons/Archer,Queens,40.702147,-73.801109
JAMAICA VAN WK,Jamaica - Van Wyck,Queens,40.702147,-73.801109
JAY ST-METROTEC,Jay St - MetroTech,Brooklyn,40.692259,-73.986642
JEFFERSON ST,Jefferson St,Brooklyn,40.706607,-73.922913
JFK JAMAICA CT1,JFK Jamaica CT1,,40.643942,-73.782356
JKSN HT-ROOSVLT,Jackson Hts - Roosevelt Av,Queens,40.746644,-73.891338
JOURNAL SQUARE,Journal Square,,40.732102,-74.063915
JUNCTION BLVD,Junction Blvd,Queens,40.749145,-73.869527
JUNIUS ST,Junius St,Brooklyn,40.663515,-73.902447
KEW GARDENS,Kew Gardens - Union Tpke,Queens,40.714441,-73.831008
KINGS HWY,Kings Hwy,Brooklyn,40.60527,-73.97014933
KINGSBRIDGE RD,Kingsbridge Rd,Bronx,40.867369,-73.8953415
KINGSTON AV,Kingston Av,Brooklyn,40.669399,-73.942161
KINGSTON-THROOP,Kingston - Throop Avs,Brooklyn,40.679921,-73.940858
KNICKERBOCKER,Knickerbocker Av,Brooklyn,40.698664,-73.919711
KOSCIUSZKO ST,Kosciuszko St,Brooklyn,40.693342,-73.928814
LACKAWANNA,,,,
LAFAYETTE AV,Lafayette Av,Brooklyn,40.686113,-73.973946
LEXINGTON AV/53,Lexington Av/53 St,Manhattan,40.757552,-73.969055
LEXINGTON AV/63,Lexington Av/63 St,Manhattan,40.764629,-73.966113
LIBERTY AV,Liberty Av,Brooklyn,40.674542,-73.896548
LIVONIA AV,Livonia Av,Brooklyn,40.664038,-73.900571
LONGWOOD AV,Longwood Av,Bronx,40.816104,-73.896435
LORIMER ST,Lorimer St,Brooklyn,40.708966,-73.9488415
MARBLE HILL-225,Marble Hill - 225 St,Manhattan,40.874561,-73.909831
MARCY AV,Marcy Av,Brooklyn,40.708359,-73.957757
METROPOLITAN AV,Metropolitan Av,Brooklyn,40.712792,-73.951418
METS-WILLETS PT,Mets - Willets Point,Queens,40.754622,-73.845625
MIDDLETOWN RD,Middletown Rd,Bronx,40.843863,-73.836322
MONTROSE AV,Montrose Av,Brooklyn,40.707739,-73.93985
MORGAN AV,Morgan Av,Brooklyn,40.706152,-73.933147
MORISN AV/SNDVW,Morrison Av- Sound View,Bronx,40.829521,-73.874516
MORRIS PARK,Morris Park,Bronx,40.854364,-73.860495
MOSHOLU PKWY,Mosholu Pkwy,Bronx,40.87975,-73.884655
MT EDEN AV,Mt Eden Av,Bronx,40.844434,-73.914685
MYRTLE AV,Myrtle Av,Brooklyn,40.697207,-73.935657
MYRTLE-WILLOUGH,Myrtle - Willoughby Avs,Brooklyn,40.694568,-73.949046
MYRTLE-WYCKOFF,Myrtle - Wyckoff Avs,Brooklyn,40.699622,-73.9119855
NASSAU AV,Nassau Av,Brooklyn,40.724635,-73.951277
NECK RD,Neck Rd,Brooklyn,40.595246,-73.955161
NEPTUNE AV,Neptune Av,Brooklyn,40.581011,-73.974574
NEREID AV,Nereid Av,Bronx,40.898379,-73.854376
NEVINS ST,Nevins St,Brooklyn,40.688246,-73.980492
NEW LOTS,New Lots,,40.658748,-73.899472
NEW LOTS AV,New Lots Av,Brooklyn,40.662484,-73.8916555
NEW UTRECHT AV,New Utrecht Av,Brooklyn,40.624842,-73.996353
NEWARK BM BW,,,,
NEWARK C,,,,
NEWARK HM HE,,,,
NEWARK HW BMEBE,,,,
NEWKIRK AV,Newkirk Av,Brooklyn,40.639967,-73.948411
NEWKIRK PLAZA,Newkirk Plaza,Brooklyn,40.635082,-73.962793
NORTHERN BLVD,Northern Blvd,Queens,40.752885,-73.906006
NORWOOD 205 ST,Norwood - 205 St,Bronx,40.874811,-73.878855
NORWOOD AV,Norwood Av,Brooklyn,40.68141,-73.880039
NOSTRAND AV,Nostrand Av,Brooklyn,40.6751425,-73.950446
OCEAN PKWY,Ocean Pkwy,Brooklyn,40.576312,-73.968501
OZONE PK LEFFRT,Ozone Park - Lefferts Blvd,Queens,40.685951,-73.825798
PARK PLACE,Park Pl,Manhattan,40.6939115,-73.9832175
PARKCHESTER,Parkchester,Bronx,40.833226,-73.860816
PARKSIDE AV,Parkside Av,Brooklyn,40.655292,-73.961495
PARSONS BLVD,Parsons Blvd,Queens,40.707564,-73.803326
PATH NEW WTC,Path New WTC,,40.711638,-74.010708
PATH WTC 2,Path WTC 2,,40.711638,-74.010708
PAVONIA/NEWPORT,,,,
PELHAM BAY PARK,Pelham Bay Park,Bronx,40.852462,-73.828121
PELHAM PKWY,Pelham Pkwy,Bronx,40.8580885,-73.861487
PENNSYLVANIA AV,Pennsylvania Av,Brooklyn,40.664635,-73.894895
PRESIDENT ST,President St,Brooklyn,40.667883,-73.950683
PRINCE ST,Prince St,Manhattan,40.724329,-73.997702
PROSPECT AV,Prospect Av,Bronx,40.7424995,-73.947321
PROSPECT PARK,Prospect Park,Brooklyn,40.661614,-73.962246
QUEENS PLAZA,Queens Plaza,Queens,40.748973,-73.937243
QUEENSBORO PLZ,Queensboro Plaza,Queens,40.750582,-73.940202
